Time,Tr_K,Pression_ideal_bar,dTdt,d2Tdt2,dPdt,d2Pdt2,kappa_TP,v_TP,RCI,anomaly_score,anomaly_flag
16300.0,422.61159472870366,102.5878065297721,-0.00184573152280052,7.142395600112693e-08,-0.0013627674844578052,9.095273257671028e-08,0.0058404120647804975,0.002294310369360471,9.570608661142498e-13,0.5598572330261483,0
16400.0,422.4273786962036,102.4519845449892,-0.0018386001561623289,7.120337676411789e-08,-0.0013537007251530043,9.038245352037682e-08,0.005863071458708062,0.002283189914904126,9.531644035636323e-13,0.5623839526930902,0
16500.0,422.2438746974712,102.3170663847415,-0.0018314908474476965,7.098279752568745e-08,-0.0013446909937537299,8.981217446475458e-08,0.005885299652130695,0.002272125127048921,9.491917087600805e-13,0.5623839526930902,0
16600.0,422.0610805267141,102.18304634623846,-0.0018244035966571914,7.076221828441424e-08,-0.0013357382902600533,8.924189540770989e-08,0.005907080256687863,0.002261115933242377,9.451421697347817e-13,0.5595046765183254,0
16700.0,421.87899397813976,102.04991872668948,-0.0018173384037908137,7.054163904740519e-08,-0.0013268426146721879,8.867161635066627e-08,0.00592839654990616,0.0022501622603721427,9.410151785895335e-13,0.5556424989970352,0
16800.0,421.6976128459559,101.91767782330402,-0.0018102952688477103,7.032105981039722e-08,-0.00131800396698992,8.810133729433281e-08,0.005949231473094005,0.0022392640347698102,9.368101317667193e-13,0.5595237150092601,0
16900.0,421.5169349243702,101.7863179332915,-0.0018032741918287342,7.012571974343031e-08,-0.0013092223472133213,8.706630240418156e-08,0.005890854013779781,0.0022284211822181043,9.20561631870221e-13,0.5614283950315171,0
17000.0,421.33695800759017,101.65583335386135,-0.0017962701248990243,7.001564011090946e-08,-0.0013005907065090838,8.446127622967485e-08,0.00556054779163665,0.0022176840504144306,8.634005370599208e-13,0.5611756950323191,0
17100.0,421.1576808993904,101.52619979198968,-0.0017892710638065523,6.988343549920697e-08,-0.0012923300919673864,8.226366090688972e-08,0.005289407687938726,0.0022071719476243496,8.158634111033805e-13,0.5602494704317103,0
17200.0,420.97910379482886,101.39736733546788,-0.0017822934377991829,6.961143650272548e-08,-0.0012841379743277058,8.264022870250195e-08,0.005461370563214344,0.002196720336213168,8.35135627984776e-13,0.5591613998153648,0
17300.0,420.8012222118306,101.26937219712414,-0.0017753487765060072,6.934106953622172e-08,-0.001275802046226886,8.298674420998873e-08,0.005632961281770921,0.002186214568471742,8.539257035083551e-13,0.5590100919104473,0
17400.0,420.62403403952766,101.1422069262225,-0.0017684252238919385,6.91299827437319e-08,-0.001267540625485708,8.224167061179379e-08,0.005612341994171371,0.002175772738535427,8.441587117805632e-13,0.55961556930257,0
17500.0,420.4475371670522,101.015864072027,-0.0017615227799572608,6.891889595266346e-08,-0.0012593537121045272,8.149659701359776e-08,0.005590175783538145,0.0021653947160967697,8.342589007652013e-13,0.55961556930257,0
17600.0,420.2717294835362,100.8903361838016,-0.0017546414447014058,6.870780916159503e-08,-0.0012512413060829885,8.07515234178878e-08,0.005566429188383291,0.002155080371009884,8.242259061716589e-13,0.5594641385003394,0
17700.0,420.0966088781119,100.7656158108104,-0.0017477812181249418,6.849672236484104e-08,-0.0012432034074209496,8.000644982040194e-08,0.0055410683819078444,0.0021448295733352252,8.140593887991747e-13,0.5585411351382135,0
17800.0,419.9221732399112,100.6416955023174,-0.0017409421002284376,6.828563557092983e-08,-0.0012352400161189082,7.926137622149575e-08,0.0055140591765665305,0.002134642193382592,8.037590353844056e-13,0.5580744572522892,0
17900.0,419.7484204580662,100.51856780758662,-0.0017341240910107559,6.807454878270418e-08,-0.0012273511321766505,7.851630262507565e-08,0.005485367031736249,0.0021245181017537098,7.93324559388446e-13,0.5581499794700174,0
18000.0,419.57534842170907,100.39622527588207,-0.0017273271904718968,6.79297464785129e-08,-0.001219536755593893,7.671263455932744e-08,0.005253004805046264,0.002114457169390767,7.545129259350178e-13,0.5576178345888123,0
18100.0,419.40295501997184,100.27466045646784,-0.0017205381417150533,6.784749826351856e-08,-0.001212008605264785,7.390994815423853e-08,0.004819808376171278,0.002104570349580213,6.882196337935048e-13,0.5571249115814629,0
18200.0,419.23124079336606,100.15382355482912,-0.001713757690819193,6.765481712562791e-08,-0.0012047547659630453,7.287092748384845e-08,0.0047177998959220015,0.00209485070326088,6.686384050459974e-13,0.5571249115814629,0
18300.0,419.060203481808,100.03370950327523,-0.0017070071782899277,6.736043505384216e-08,-0.0011974344197680153,7.345611873823491e-08,0.004933581460591856,0.002085119348233694,6.92943946353501e-13,0.5569741547460008,0
18400.0,418.88983935770807,99.91433667087551,-0.0017002856038084246,6.711274380819562e-08,-0.0011900635422153983,7.329563563622782e-08,0.00500608085654781,0.0020753848725064083,6.972708369850757e-13,0.557304602684983,0
18500.0,418.7201463610463,99.79569679483215,-0.0016935846295282886,6.690674178457802e-08,-0.0011827752926407697,7.246935585598717e-08,0.004945365362362397,0.0020657168949921307,6.835008600607266e-13,0.5567769620860157,0
18600.0,418.5511224318024,99.67778161234736,-0.001686904255451509,6.670073976096044e-08,-0.001175569671044201,7.164307607538984e-08,0.004882253417330527,0.0020561152736506237,6.695737633469718e-13,0.5560637459341955,0
18700.0,418.382765509956,99.56058286062331,-0.0016802444815760965,6.649473774160702e-08,-0.0011684466774256918,7.08167962947925e-08,0.004816703849321745,0.0020465798679392077,6.554897728735078e-13,0.5555372801441136,0
18800.0,418.2150735354872,99.44409227686222,-0.0016736053079031876,6.628873571656912e-08,-0.0011614063117852424,6.999051651383954e-08,0.004748675333691807,0.002037110538899724,6.412491605552348e-13,0.5477449864685782,0
18900.0,418.0480444483754,99.32830159826626,-0.0016669867344327827,6.608273369579321e-08,-0.0011544485741229239,6.916423673253313e-08,0.004678126406842384,0.0020277071492376124,6.268522448853572e-13,0.5608709531799551,0
19000.0,417.88167618860064,99.21320256203764,-0.001660388761164029,6.587673167643979e-08,-0.0011475734644387358,6.833795695158126e-08,0.004605015489572985,0.0020183695634060036,6.122993922009911e-13,0.5611402082416191,0
19100.0,417.7159666961426,99.09878690537852,-0.0016538113880974947,6.567072965566498e-08,-0.0011407809827326076,6.751167717133846e-08,0.004529300904810053,0.002009097647692948,5.975910175285658e-13,0.5489365669489789,0
19200.0,417.55091391098114,98.98504636549112,-0.001647254615232896,6.546472763346877e-08,-0.001134071129004468,6.668539739109781e-08,0.004450940897567593,0.00199989127030635,5.827275855255648e-13,0.5479268936405882,0
19300.0,417.386515773096,98.87197267957762,-0.001640718442570801,6.525872561127257e-08,-0.001127443903254388,6.585911761014594e-08,0.004369893656749753,0.0019907503014636074,5.677096115193944e-13,0.5477960603032688,0
19400.0,417.222770222467,98.75955758484024,-0.0016342028701106415,6.505272358907636e-08,-0.001120899305482439,6.503283782883737e-08,0.004286117338084274,0.001981674613479436,5.525376625699641e-13,0.5483204355762592,0
19500.0,417.05967519907387,98.64779281848114,-0.0016277078978529857,6.484672156688017e-08,-0.0011144373356886206,6.420655804895126e-08,0.004199570087259853,0.001972664080858608,5.372123584840192e-13,0.5489365669489789,0
19600.0,416.8972286428964,98.53667011770251,-0.0016212335257972655,6.432339013855409e-08,-0.0011080579938726486,7.022528436131415e-08,0.005621930295285866,0.00196371858038623,7.101230858496777e-13,0.5492337697502943,0
19700.0,416.7354284939144,98.4261812197066,-0.0016148432198252749,6.3636853576554e-08,-0.0011003922788163578,7.976445379256295e-08,0.007876439645901777,0.0019541191856932163,9.794667480887843e-13,0.5520642206484713,0
19800.0,416.5742599989313,98.31659166193924,-0.0016085061550819547,6.350398580110559e-08,-0.001092105103114136,7.736061977432459e-08,0.007494030201004294,0.0019442185080860823,9.252551190267556e-13,0.5524378661326599,0
19900.0,416.413727262898,98.20776019908378,-0.0016021424226650538,6.361193427721948e-08,-0.0010849201548614928,6.976221920318502e-08,0.005901194598459468,0.0019349191417027567,7.263423366111929e-13,0.5539302688483508,0
20000.0,416.2538315143983,98.09960763096694,-0.0015957837682265108,6.347433540980756e-08,-0.001078152659273499,6.746043789576097e-08,0.0054896137243441645,0.0019258605846825259,6.710653172815092e-13,0.5547181130493721,0
20100.0,416.0945705092527,97.99212966722908,-0.0015894475555830922,6.324991746140549e-08,-0.0010714280672823406,6.703140192847396e-08,0.005504650419771681,0.0019168467949498308,6.67386027377623e-13,0.5545313782979768,0
20200.0,415.9359420032817,97.88532201751048,-0.0015831337847342297,6.302549951442372e-08,-0.0010647463788878043,6.660236596296395e-08,0.005519162746413029,0.0019078777297619515,6.636514315442853e-13,0.5549502601569025,0
20300.0,415.7779437523059,97.77918039145152,-0.0015768424556802075,6.280108156175856e-08,-0.0010581075940897479,6.617332999496787e-08,0.005533134086108269,0.001898953346110952,6.59861231148399e-13,0.5535260659104506,0
20400.0,415.62057351214565,97.67370049869253,-0.001570573568421878,6.257666360909341e-08,-0.0010515117128888107,6.574429402661508e-08,0.0055465475160267645,0.001890073600727705,6.560151336804899e-13,0.5540917404879562,0
20500.0,415.4638290386215,97.56887804887376,-0.0015643271229583888,6.235224566211164e-08,-0.0010449587352844248,6.531525806217084e-08,0.005559385807138158,0.0018812384500829485,6.521128529765494e-13,0.5530072743343127,0
20600.0,415.307708087554,97.46470875163564,-0.0015581031192894556,6.212782771228818e-08,-0.0010384486612763765,6.488622209559507e-08,0.005571631421038789,0.0018724478503942988,6.481541092264185e-13,0.5423281215310893,0
20700.0,415.1522084147636,97.36118831661848,-0.0015519015574159312,6.190340975962302e-08,-0.0010319814908653058,6.445718612724227e-08,0.005583266507894801,0.0018637017576314543,6.44138629495507e-13,0.5351664691164332,0
